last contact date,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,target
2009-05-18,33,admin.,single,tertiary,no,701,yes,no,cellular,59,2,-1,0,,no
2010-11-19,36,management,married,secondary,no,6077,no,no,cellular,227,1,-1,0,,no
2008-07-28,31,admin.,married,secondary,no,3,yes,no,cellular,37,12,-1,0,,no
2010-05-07,37,management,single,tertiary,yes,45,yes,no,,204,1,-1,0,,no
2010-05-13,43,blue-collar,married,,no,-633,yes,yes,,277,1,-1,0,,no
2010-10-27,47,management,divorced,tertiary,no,12026,yes,no,telephone,251,1,-1,0,,yes
2009-10-01,19,unemployed,married,secondary,yes,10023,no,no,telephone,3380,58,610,219,other,no
2009-04-21,57,management,married,primary,no,6900,no,no,cellular,159,2,-1,0,,no
2009-05-08,40,services,married,,no,-516,yes,no,cellular,272,1,364,2,failure,no
2010-01-29,31,blue-collar,single,tertiary,no,403,no,no,cellular,356,2,-1,0,,no
2008-09-01,27,admin.,married,secondary,no,1596,no,no,cellular,82,1,-1,0,,yes
2009-08-20,55,blue-collar,married,secondary,no,1218,no,no,cellular,107,2,-1,0,,no
2009-08-14,43,self-employed,married,tertiary,no,423,no,no,cellular,3322,2,-1,0,,no
2009-05-20,38,admin.,married,tertiary,no,4399,yes,no,,638,2,-1,0,,no
2009-11-20,30,admin.,married,secondary,no,1794,no,no,cellular,1035,1,-1,0,,yes
2010-05-09,52,services,divorced,primary,no,146,yes,no,,93,1,-1,0,,no
2009-05-12,40,services,single,secondary,no,737,yes,no,,117,2,-1,0,,no
2009-07-24,52,blue-collar,married,primary,no,117,no,yes,cellular,164,2,-1,0,,no
2010-07-15,46,blue-collar,married,primary,no,174,no,yes,cellular,90,1,-1,0,,no
2009-04-29,48,admin.,married,secondary,no,2533,no,no,cellular,714,2,633,1,failure,no
2008-05-30,44,blue-collar,married,secondary,no,3224,yes,no,,306,1,-1,0,,no
2008-06-20,35,management,single,tertiary,no,996,no,no,,17,2,-1,0,,no
2008-08-25,50,management,married,tertiary,no,135,no,no,cellular,162,4,-1,0,,no
2008-06-20,30,admin.,married,secondary,no,4,no,no,,7,2,-1,0,,no
2009-04-30,30,admin.,single,secondary,no,270,no,no,cellular,437,1,80,1,success,yes
2008-01-29,27,services,married,secondary,no,1,no,no,cellular,528,3,-1,0,,no
2008-05-20,55,self-employed,married,secondary,no,-196,yes,no,,210,2,-1,0,,no
2008-02-06,29,unemployed,single,tertiary,no,111,no,no,cellular,98,2,-1,0,,no
2010-04-20,44,admin.,divorced,secondary,no,-43,yes,yes,cellular,206,1,-1,0,,no
2008-05-14,49,retired,married,secondary,no,329,yes,no,,264,2,-1,0,,no
2008-09-06,48,management,married,tertiary,no,0,yes,no,cellular,194,2,125,6,failure,yes
2009-05-15,34,technician,married,secondary,no,4,yes,no,,644,1,-1,0,,no
2009-08-22,33,self-employed,married,tertiary,no,215,no,yes,cellular,286,2,-1,0,,no
2010-05-18,23,technician,single,secondary,no,356,yes,no,cellular,224,2,356,2,failure,no
2010-05-13,26,blue-collar,single,secondary,no,309,yes,no,,210,1,-1,0,,no
2008-04-16,33,management,single,tertiary,no,1423,yes,no,cellular,633,3,248,2,other,no
2008-05-09,31,admin.,married,secondary,no,355,yes,no,,239,1,-1,0,,no
2009-07-16,31,management,single,tertiary,no,38279,no,no,cellular,225,2,-1,0,,no
2008-07-10,38,management,married,tertiary,no,1722,yes,no,cellular,500,1,-1,0,,yes
2008-05-15,34,blue-collar,married,,no,-17,yes,no,,319,7,-1,0,,no
2009-05-11,57,technician,married,secondary,no,124,yes,no,telephone,296,1,287,12,failure,no
2008-05-07,39,blue-collar,married,secondary,no,-219,yes,no,cellular,101,1,-1,0,,no
2010-07-22,53,entrepreneur,married,secondary,no,0,yes,no,cellular,200,1,-1,0,,no
2009-02-03,34,management,married,tertiary,no,123,no,no,cellular,301,3,-1,0,,yes
2010-08-19,31,management,single,tertiary,no,0,no,no,cellular,133,2,-1,0,,no
2008-05-21,34,management,single,tertiary,no,0,yes,no,,759,1,-1,0,,no
2009-05-14,43,blue-collar,single,secondary,no,592,yes,no,cellular,260,1,-1,0,,no
2009-05-16,27,services,married,secondary,no,15,yes,no,,167,1,-1,0,,no
2008-11-30,45,admin.,married,,no,2033,no,no,cellular,123,1,186,4,failure,no
2009-04-22,53,management,married,tertiary,no,3754,no,no,cellular,307,1,278,2,failure,yes
2010-10-13,83,retired,single,primary,no,1965,no,no,telephone,1003,3,-1,0,,yes
2009-05-06,60,retired,married,secondary,yes,15,no,no,,80,1,-1,0,,no
2009-01-28,57,blue-collar,married,secondary,no,297,no,yes,telephone,120,2,154,16,failure,no
2008-06-06,32,entrepreneur,married,secondary,no,1328,yes,no,,80,5,-1,0,,no
2009-06-03,50,management,married,secondary,no,268,no,no,cellular,74,2,90,2,failure,no
2009-07-31,38,management,single,tertiary,no,1515,yes,no,telephone,42,5,-1,0,,no
2010-10-19,30,unemployed,married,primary,no,1787,no,no,cellular,79,1,-1,0,,no
2010-07-08,40,admin.,married,secondary,no,1011,yes,no,cellular,145,12,-1,0,,no
2009-05-29,33,services,married,secondary,no,931,yes,no,,263,3,-1,0,,no
2009-04-02,22,student,single,secondary,no,722,yes,no,cellular,108,1,-1,0,,no
2008-08-11,39,management,married,secondary,no,11835,yes,no,cellular,744,2,-1,0,,yes
2010-11-17,46,admin.,divorced,secondary,no,-60,no,no,cellular,117,1,-1,0,,no
2008-05-15,53,blue-collar,married,secondary,no,136,yes,no,,99,1,-1,0,,no
2010-05-22,38,self-employed,married,secondary,no,8094,no,no,cellular,94,7,-1,0,,no
2010-07-23,27,technician,single,secondary,no,487,yes,no,cellular,319,1,-1,0,,no
2010-07-07,48,admin.,married,secondary,no,8,no,yes,cellular,46,1,-1,0,,no
2008-07-17,42,technician,married,secondary,no,782,yes,no,cellular,536,2,-1,0,,no
2009-07-18,36,admin.,married,tertiary,no,0,yes,no,cellular,837,8,-1,0,,no
2008-07-23,31,blue-collar,married,secondary,no,0,no,no,telephone,36,1,-1,0,,no
2010-05-21,31,admin.,married,secondary,no,8784,yes,no,,63,2,-1,0,,no
2009-07-30,52,admin.,married,secondary,no,686,no,no,cellular,544,2,-1,0,,no
2009-05-08,41,management,married,tertiary,no,141,yes,yes,,146,3,-1,0,,no
2010-06-16,31,technician,divorced,secondary,no,-1185,yes,no,,81,5,-1,0,,no
2009-11-20,41,technician,single,secondary,no,769,no,yes,cellular,222,4,98,4,other,no
2008-08-05,39,management,married,tertiary,no,1069,no,no,cellular,422,1,-1,0,,no
2009-05-05,53,technician,married,secondary,no,384,yes,no,,176,1,-1,0,,no
2009-08-19,22,admin.,single,secondary,no,4111,no,yes,cellular,65,1,-1,0,,no
2010-08-13,52,unemployed,married,secondary,no,9139,no,no,cellular,684,2,-1,0,,no
2008-06-09,47,management,married,,no,1046,no,no,,83,1,-1,0,,no
2008-01-02,44,unemployed,married,tertiary,no,49345,yes,no,telephone,4557,20,574,248,other,yes
2009-05-15,40,admin.,single,secondary,no,60,yes,no,cellular,460,3,352,6,other,no
2009-08-27,35,management,single,tertiary,no,362,no,no,cellular,256,4,-1,0,,no
2008-02-18,48,admin.,married,secondary,no,660,no,no,cellular,318,1,561,2,success,yes
2010-11-19,35,management,divorced,tertiary,no,859,yes,yes,cellular,1554,1,-1,0,,yes
2010-04-16,39,management,single,tertiary,no,0,yes,no,cellular,81,2,-1,0,,no
2010-10-05,40,entrepreneur,divorced,primary,no,64944,no,yes,telephone,3168,1,260,217,failure,no
2009-05-15,32,management,single,tertiary,no,336,no,no,cellular,64,4,-1,0,,no
2009-07-07,33,admin.,married,tertiary,no,568,no,no,cellular,219,1,-1,0,,no
2008-05-14,41,technician,married,tertiary,no,744,yes,no,,125,1,-1,0,,no
2008-06-03,36,unemployed,married,tertiary,no,7222,yes,no,cellular,86,1,-1,0,,no
2010-05-07,44,blue-collar,married,primary,no,4031,yes,no,cellular,983,4,-1,0,,yes
2009-07-24,26,technician,single,secondary,no,3382,no,no,cellular,844,5,-1,0,,no
2010-08-27,33,technician,married,tertiary,no,148,no,no,cellular,15,20,-1,0,,no
2009-01-04,32,unemployed,divorced,tertiary,yes,13002,no,yes,telephone,1031,43,801,116,success,no
2009-06-02,25,services,single,secondary,no,229,yes,no,,214,2,-1,0,,no
2008-05-05,35,student,single,secondary,no,188,yes,no,cellular,863,1,78,8,success,yes
2010-07-01,29,technician,married,tertiary,no,975,no,no,,56,1,-1,0,,no
2010-08-26,47,services,married,secondary,no,1764,no,yes,cellular,119,6,-1,0,,no
2008-04-30,32,management,married,tertiary,no,4733,no,no,cellular,532,1,-1,0,,yes
2009-05-26,38,unemployed,married,tertiary,no,1449,no,no,,535,6,-1,0,,no
2009-08-14,36,technician,married,secondary,no,465,no,no,cellular,85,1,-1,0,,no
2010-05-07,54,blue-collar,married,secondary,no,-932,yes,no,,799,1,-1,0,,no
2010-06-09,35,blue-collar,married,secondary,no,4,no,no,,130,2,-1,0,,no
2008-05-12,48,blue-collar,married,primary,no,556,yes,no,telephone,22,1,-1,0,,no
2010-03-09,80,entrepreneur,married,secondary,yes,68191,no,no,cellular,1505,7,596,119,other,yes
2010-05-14,29,admin.,married,secondary,no,1761,yes,yes,cellular,175,1,-1,0,,no
2009-05-07,58,entrepreneur,single,tertiary,no,229,yes,no,cellular,162,7,-1,0,,no
2010-07-22,52,technician,married,secondary,no,83,no,no,telephone,135,3,-1,0,,no
2010-07-14,29,blue-collar,married,secondary,no,-191,no,yes,cellular,115,2,-1,0,,no
2008-06-06,35,self-employed,married,secondary,no,116,no,no,,361,1,-1,0,,no
2009-08-19,53,admin.,married,,no,0,no,no,cellular,160,3,-1,0,,no
2009-08-12,76,retired,divorced,primary,no,86,no,no,cellular,192,1,-1,0,,no
2009-06-04,33,management,married,tertiary,no,1165,yes,no,,462,2,-1,0,,no
2009-08-07,42,management,single,tertiary,no,100,no,no,cellular,64,2,-1,0,,no
2010-08-12,46,self-employed,married,secondary,no,548,no,no,cellular,1181,4,-1,0,,yes
2010-07-22,26,blue-collar,single,secondary,no,1,yes,no,cellular,36,2,-1,0,,no
2010-06-05,39,technician,married,secondary,no,9121,no,no,,147,1,-1,0,,no
2008-04-17,36,technician,single,tertiary,no,3241,yes,yes,cellular,1184,2,-1,0,,no
2008-05-14,26,student,single,secondary,no,3096,yes,no,,107,1,-1,0,,no
2008-05-18,31,admin.,single,secondary,no,1129,yes,no,cellular,145,3,-1,0,,no
2009-05-14,29,admin.,single,secondary,no,25,yes,no,cellular,244,1,343,2,failure,no
2009-11-03,34,management,single,tertiary,no,382,no,no,cellular,193,1,-1,0,,no
2010-08-25,59,blue-collar,married,primary,no,-546,no,no,cellular,1152,6,-1,0,,yes
2010-07-25,28,technician,single,secondary,no,799,yes,no,cellular,295,1,-1,0,,no
2009-05-14,49,blue-collar,married,primary,no,11317,yes,no,,208,1,-1,0,,no
2010-05-16,50,admin.,married,secondary,no,1906,no,no,,174,17,-1,0,,no
2008-07-30,44,blue-collar,divorced,secondary,no,221,no,no,cellular,149,13,-1,0,,no
2008-06-12,36,management,married,tertiary,no,-85,yes,no,,85,2,-1,0,,no
2009-05-18,22,student,single,primary,no,110,yes,no,cellular,237,2,-1,0,,no
2009-12-02,34,housemaid,single,tertiary,yes,9665,yes,yes,telephone,3426,1,671,37,failure,yes
2008-05-16,24,retired,single,secondary,no,366,no,yes,,234,2,-1,0,,no
2010-07-30,38,blue-collar,married,secondary,no,1149,no,no,cellular,41,2,-1,0,,no
2010-04-20,35,technician,single,secondary,no,353,yes,no,cellular,8,3,-1,0,,no
2010-07-07,53,blue-collar,married,secondary,no,143,yes,no,cellular,122,5,-1,0,,no
2008-06-02,48,blue-collar,divorced,primary,no,323,no,no,,230,2,-1,0,,no
2008-08-04,37,management,married,tertiary,no,561,no,no,cellular,204,2,-1,0,,no
2010-07-29,42,blue-collar,married,primary,no,2273,yes,no,cellular,98,2,-1,0,,no
2009-05-14,42,technician,married,secondary,no,0,yes,no,,833,1,-1,0,,no
2008-05-15,32,blue-collar,married,secondary,no,99,yes,no,cellular,166,2,-1,0,,no
2010-05-14,25,services,single,secondary,no,192,yes,no,,232,1,-1,0,,no
2010-05-12,28,technician,single,secondary,no,-219,yes,no,,386,2,-1,0,,no
2010-04-16,35,management,divorced,tertiary,no,649,no,no,cellular,177,1,-1,0,,no
2009-05-05,25,blue-collar,married,secondary,no,-7,yes,no,,365,1,-1,0,,no
2008-08-27,37,housemaid,married,primary,no,309,no,no,cellular,11,15,-1,0,,no
2009-05-12,37,management,divorced,secondary,no,1655,yes,no,cellular,178,1,175,2,failure,no
2010-05-21,34,services,married,secondary,no,1270,yes,no,,494,3,-1,0,,no
2009-03-21,28,housemaid,married,secondary,yes,65971,no,yes,cellular,2744,48,159,69,success,yes
2009-07-28,30,blue-collar,single,secondary,no,567,yes,no,cellular,317,5,-1,0,,no
2008-11-18,32,services,single,secondary,no,48,yes,yes,cellular,132,1,-1,0,,no
2010-12-07,29,entrepreneur,divorced,tertiary,yes,41288,no,yes,telephone,959,34,12,113,other,no
2010-08-06,48,technician,married,secondary,no,504,no,yes,cellular,227,3,-1,0,,no
2010-11-18,53,entrepreneur,married,,no,2496,no,yes,cellular,94,1,-1,0,,no
2009-06-02,30,housemaid,married,secondary,no,533,yes,no,cellular,212,1,-1,0,,no
2009-11-19,58,retired,divorced,primary,no,2538,yes,no,cellular,680,2,111,6,failure,yes
2008-12-28,44,management,married,,no,2724,no,no,cellular,893,1,-1,0,,yes
2010-07-31,38,unemployed,married,primary,no,311,no,no,telephone,80,11,-1,0,,no
2008-06-04,38,blue-collar,married,primary,no,5839,yes,no,,984,2,-1,0,,yes
2009-03-02,93,housemaid,single,secondary,no,29594,no,yes,telephone,1586,4,31,116,failure,yes
2010-11-21,36,admin.,divorced,tertiary,no,289,yes,yes,cellular,73,4,-1,0,,no
2008-07-29,51,unemployed,married,primary,no,0,no,no,cellular,132,2,-1,0,,no
2009-06-19,56,admin.,married,secondary,no,6005,yes,no,,44,6,-1,0,,no
2010-07-30,42,blue-collar,single,primary,no,92,no,no,cellular,86,2,-1,0,,no
2008-05-05,47,technician,married,tertiary,no,151,yes,no,,190,1,-1,0,,no
2009-05-15,50,blue-collar,married,,no,605,yes,no,,200,1,-1,0,,no
2010-05-21,31,blue-collar,married,secondary,no,1243,yes,no,,32,1,-1,0,,no
2008-05-23,31,unemployed,married,secondary,no,57,yes,yes,,104,5,-1,0,,no
2010-05-16,40,blue-collar,married,secondary,no,2073,yes,no,,166,2,-1,0,,no
2010-05-15,42,unemployed,married,primary,no,259,yes,no,,155,6,-1,0,,no
2009-05-27,28,blue-collar,single,secondary,no,1025,yes,no,,168,1,-1,0,,no
2008-06-11,38,blue-collar,married,primary,no,8637,yes,no,,119,1,-1,0,,no
2010-02-09,42,services,divorced,primary,no,0,yes,no,cellular,216,2,-1,0,,no
2010-05-06,26,unemployed,married,secondary,no,285,yes,no,cellular,265,2,342,2,failure,no
2010-05-06,27,student,single,secondary,no,3096,yes,no,telephone,62,4,357,1,failure,no
2009-06-17,37,services,single,secondary,no,105,no,yes,,260,4,-1,0,,no
2010-05-04,25,student,married,tertiary,no,4923,yes,yes,cellular,78,4,74,14,failure,no
2010-05-30,24,student,single,secondary,no,7,yes,no,,86,3,-1,0,,no
2008-05-30,25,management,single,,no,17,yes,no,,65,2,-1,0,,no
2009-02-02,39,technician,married,tertiary,no,794,no,no,telephone,182,1,-1,0,,no
2010-04-30,25,management,single,tertiary,no,436,no,no,cellular,132,2,-1,0,,no
2010-02-03,49,blue-collar,married,secondary,no,298,yes,no,cellular,392,3,-1,0,,no
2008-05-09,48,unemployed,married,secondary,no,855,yes,no,,241,2,-1,0,,no
2010-05-26,43,services,married,secondary,no,278,yes,no,,14,20,-1,0,,no
2010-08-12,36,management,single,tertiary,no,3850,yes,no,cellular,239,2,100,4,failure,yes
2008-07-24,49,management,single,tertiary,no,2555,no,yes,cellular,263,2,-1,0,,no
2008-07-02,30,technician,single,secondary,no,930,no,no,cellular,396,1,-1,0,,yes
2009-06-09,63,retired,married,primary,no,48,no,no,cellular,251,1,-1,0,,yes
2008-05-05,45,technician,married,secondary,no,86,yes,no,,270,1,-1,0,,no
2010-08-29,37,technician,married,tertiary,no,1561,no,no,cellular,88,7,-1,0,,no
2008-05-12,55,services,single,secondary,no,-40,yes,no,,178,2,-1,0,,no
2010-06-06,39,admin.,divorced,secondary,no,2610,no,no,,67,5,-1,0,,no
2009-07-08,25,blue-collar,single,secondary,yes,-220,no,no,cellular,152,1,-1,0,,no
2009-11-20,37,blue-collar,single,secondary,no,1184,yes,no,cellular,149,2,-1,0,,no
2008-08-07,56,blue-collar,married,primary,no,1214,no,yes,cellular,105,1,-1,0,,no
2008-05-28,57,admin.,divorced,secondary,no,-140,yes,no,,264,2,-1,0,,no
2008-05-06,35,management,married,tertiary,no,272,yes,no,cellular,251,4,289,2,failure,no
2010-05-12,40,blue-collar,married,primary,no,14,yes,no,cellular,135,4,-1,0,,no
2010-07-04,42,management,single,tertiary,no,1156,yes,no,,62,1,-1,0,,no
2010-07-10,36,blue-collar,single,secondary,no,1127,yes,no,cellular,455,1,-1,0,,no
2009-01-28,56,admin.,divorced,secondary,no,3869,no,no,cellular,79,1,-1,0,,no
2010-02-02,39,entrepreneur,single,,no,879,yes,yes,cellular,99,1,-1,0,,no
2009-08-19,40,,married,tertiary,no,119,no,no,cellular,258,2,-1,0,,no
2010-03-30,71,entrepreneur,single,tertiary,yes,29579,no,yes,cellular,2531,54,152,265,success,no
2008-08-27,42,technician,married,secondary,no,314,no,no,cellular,11,22,-1,0,,no
2010-06-01,26,management,single,tertiary,no,1274,yes,no,cellular,190,1,84,1,failure,no
2008-08-28,59,retired,married,secondary,no,0,no,no,cellular,23,15,-1,0,,no
2010-01-30,35,unemployed,married,secondary,no,330,no,no,cellular,645,4,-1,0,,no
2010-04-17,35,blue-collar,married,primary,no,373,no,no,cellular,335,2,-1,0,,no
2010-08-11,59,technician,married,secondary,no,478,no,no,cellular,108,5,-1,0,,no
2010-07-28,34,technician,married,secondary,no,357,yes,no,cellular,25,20,-1,0,,no
2009-11-19,40,blue-collar,married,secondary,no,0,yes,yes,cellular,53,2,-1,0,,no
2010-05-22,32,technician,single,tertiary,no,1625,no,no,cellular,796,1,109,1,failure,yes
2009-08-19,39,management,married,tertiary,no,88,no,no,cellular,349,4,-1,0,,no
2009-01-05,55,entrepreneur,married,tertiary,yes,81178,no,no,cellular,492,26,633,175,failure,no
2010-08-20,40,management,married,tertiary,no,324,no,no,cellular,208,2,-1,0,,no
2009-07-10,35,blue-collar,divorced,secondary,no,275,no,yes,cellular,144,5,-1,0,,no
2009-02-06,57,retired,married,primary,no,1532,no,no,telephone,286,3,-1,0,,no
2010-02-02,35,admin.,married,secondary,no,287,yes,no,cellular,115,3,245,8,failure,no
2010-08-07,40,technician,single,secondary,no,153,no,no,cellular,125,2,-1,0,,no
2009-09-09,60,retired,married,secondary,no,0,no,no,cellular,408,1,-1,0,,yes
2008-08-18,55,management,divorced,tertiary,no,0,no,no,cellular,309,4,-1,0,,yes
2010-05-11,29,services,single,secondary,no,31,yes,no,cellular,82,1,369,3,other,no
2009-05-29,35,services,single,secondary,no,918,yes,no,,178,1,-1,0,,no
2008-07-28,40,services,married,secondary,no,473,yes,no,cellular,383,3,-1,0,,yes
2008-02-03,29,admin.,divorced,secondary,no,120,no,yes,cellular,197,1,-1,0,,no
2009-05-04,32,student,single,tertiary,no,1138,no,no,cellular,214,3,83,3,success,yes
2010-07-07,36,services,married,secondary,no,-274,no,no,cellular,217,1,-1,0,,no
2010-06-05,46,blue-collar,married,primary,no,5164,yes,no,,267,11,-1,0,,no
2008-09-10,89,housemaid,single,secondary,no,26589,no,no,telephone,3550,29,536,103,other,yes
2010-04-21,56,unemployed,married,primary,no,3391,no,no,cellular,243,1,-1,0,,yes
2008-05-20,30,unemployed,married,secondary,no,142,yes,no,,350,4,-1,0,,no
2009-02-02,60,technician,married,secondary,no,358,no,no,cellular,95,1,216,2,failure,no
2009-12-10,64,retired,married,primary,no,43,no,no,cellular,232,1,-1,0,,yes
2009-08-21,32,management,single,tertiary,no,154,no,yes,cellular,301,3,-1,0,,no
2010-05-11,42,technician,married,secondary,no,679,yes,no,cellular,146,2,-1,0,,no
2010-06-05,58,retired,married,primary,no,1980,no,no,cellular,255,1,-1,0,,yes
2008-03-30,56,housemaid,single,tertiary,no,1947,no,no,,110,1,-1,0,,yes
2009-08-05,49,management,married,tertiary,no,2139,no,no,cellular,278,1,-1,0,,no
2009-11-10,33,management,married,tertiary,no,1388,yes,no,cellular,280,1,89,2,failure,no
2010-07-29,33,technician,single,secondary,no,338,yes,no,cellular,105,4,-1,0,,no
2010-05-26,52,entrepreneur,divorced,secondary,no,-99,no,yes,,91,3,-1,0,,no
2009-08-08,39,self-employed,divorced,tertiary,no,0,no,no,cellular,34,2,-1,0,,no
2008-06-06,53,housemaid,single,tertiary,no,3275,no,no,,527,2,-1,0,,no
2009-02-05,31,services,married,secondary,no,1004,no,no,cellular,96,6,-1,0,,no
2010-04-20,45,admin.,married,,no,13562,yes,no,telephone,16,12,-1,0,,no
2008-01-28,28,student,single,secondary,no,101,no,no,cellular,90,1,-1,0,,no
2008-08-27,31,management,single,tertiary,no,404,no,no,cellular,125,7,-1,0,,no
2010-05-15,33,technician,married,secondary,no,-204,no,no,cellular,297,3,-1,0,,no
2010-08-21,52,technician,divorced,secondary,no,225,no,no,cellular,58,2,-1,0,,no
2008-05-23,28,blue-collar,married,primary,no,4,yes,no,,7,1,-1,0,,no
2010-12-03,68,retired,married,tertiary,no,2820,no,no,cellular,154,1,97,2,failure,yes
2010-05-16,40,management,single,secondary,no,192,yes,no,,71,11,-1,0,,no
2009-05-12,40,admin.,married,primary,no,129,yes,no,cellular,464,3,-1,0,,no
2008-06-04,35,entrepreneur,married,secondary,no,2008,no,no,,178,6,-1,0,,no
2009-02-02,36,admin.,married,secondary,no,0,yes,no,cellular,236,2,252,1,other,no
2008-04-13,45,admin.,single,secondary,no,946,yes,no,cellular,754,3,143,6,failure,no
2008-09-13,85,student,single,primary,yes,32560,yes,yes,telephone,1064,7,378,28,other,no
2008-08-19,50,technician,married,tertiary,no,329,no,no,cellular,329,4,-1,0,,no
2010-06-05,57,management,married,tertiary,no,561,no,no,,21,1,-1,0,,no
2010-05-11,39,services,married,secondary,no,1005,yes,yes,cellular,204,1,336,2,failure,no
2009-11-21,31,blue-collar,married,primary,no,2198,no,no,cellular,423,2,172,2,failure,no
2008-01-29,31,technician,single,secondary,no,304,no,no,cellular,293,2,160,2,other,no
